NO.,UNICODE,UTF8
0000,0x00A4,utf8:C2-A4:¤
0001,0x00A7,utf8:C2-A7:§
0002,0x00A8,utf8:C2-A8:¨
0003,0x00B0,utf8:C2-B0:°
0004,0x00B1,utf8:C2-B1:±
0005,0x00D7,utf8:C3-97:×
0006,0x00E0,utf8:C3-A0:à
0007,0x00E1,utf8:C3-A1:á
0008,0x00E8,utf8:C3-A8:è
0009,0x00E9,utf8:C3-A9:é
0010,0x00EA,utf8:C3-AA:ê
0011,0x00EC,utf8:C3-AC:ì
0012,0x00ED,utf8:C3-AD:í
0013,0x00F2,utf8:C3-B2:ò
0014,0x00F3,utf8:C3-B3:ó
0015,0x00F7,utf8:C3-B7:÷
0016,0x00F9,utf8:C3-B9:ù
0017,0x00FA,utf8:C3-BA:ú
0018,0x00FC,utf8:C3-BC:ü
0019,0x0101,utf8:C4-81:ā
0020,0x0113,utf8:C4-93:ē
0021,0x011B,utf8:C4-9B:ě
0022,0x012B,utf8:C4-AB:ī
0023,0x014D,utf8:C5-8D:ō
0024,0x016B,utf8:C5-AB:ū
0025,0x01CE,utf8:C7-8E:ǎ
0026,0x01D0,utf8:C7-90:ǐ
0027,0x01D2,utf8:C7-92:ǒ
0028,0x01D4,utf8:C7-94:ǔ
0029,0x01D6,utf8:C7-96:ǖ
0030,0x01D8,utf8:C7-98:ǘ
0031,0x01DA,utf8:C7-9A:ǚ
0032,0x01DC,utf8:C7-9C:ǜ
0033,0x02C7,utf8:CB-87:ˇ
0034,0x02C9,utf8:CB-89:ˉ
0035,0x0391,utf8:CE-91:Α
0036,0x0392,utf8:CE-92:Β
0037,0x0393,utf8:CE-93:Γ
0038,0x0394,utf8:CE-94:Δ
0039,0x0395,utf8:CE-95:Ε
0040,0x0396,utf8:CE-96:Ζ
0041,0x0397,utf8:CE-97:Η
0042,0x0398,utf8:CE-98:Θ
0043,0x0399,utf8:CE-99:Ι
0044,0x039A,utf8:CE-9A:Κ
0045,0x039B,utf8:CE-9B:Λ
0046,0x039C,utf8:CE-9C:Μ
0047,0x039D,utf8:CE-9D:Ν
0048,0x039E,utf8:CE-9E:Ξ
0049,0x039F,utf8:CE-9F:Ο
0050,0x03A0,utf8:CE-A0:Π
0051,0x03A1,utf8:CE-A1:Ρ
0052,0x03A3,utf8:CE-A3:Σ
0053,0x03A4,utf8:CE-A4:Τ
0054,0x03A5,utf8:CE-A5:Υ
0055,0x03A6,utf8:CE-A6:Φ
0056,0x03A7,utf8:CE-A7:Χ
0057,0x03A8,utf8:CE-A8:Ψ
0058,0x03A9,utf8:CE-A9:Ω
0059,0x03B1,utf8:CE-B1:α
0060,0x03B2,utf8:CE-B2:β
